agency,job level,staff,% female,min. salary,max. salary,chart size
Administrative Appeals Tribunal,APS1,1.0,1.0,48133.0,53195.0,0.5641895835477563
Administrative Appeals Tribunal,APS2,22.0,0.5454545454545454,54472.0,61278.0,2.6462837142006137
Administrative Appeals Tribunal,APS3,55.0,0.8,64502.0,66966.0,4.1841419359420025
Administrative Appeals Tribunal,APS4,317.0,0.6656151419558359,69149.0,75079.0,10.045109950630787
Administrative Appeals Tribunal,APS5,85.0,0.611764705882353,77124.0,81784.0,5.201570947860099
Administrative Appeals Tribunal,APS6,104.0,0.5961538461538461,83549.0,95686.0,5.753627391751592
Administrative Appeals Tribunal,EL1,72.0,0.6666666666666666,105822.0,124554.0,4.787307364817192
Administrative Appeals Tribunal,EL2,51.0,0.6078431372549019,126711.0,135857.0,4.029119531035698
Australian Building & Construction Commission,APS2,1.0,1.0,59449.0,65103.0,0.5641895835477563
Australian Building & Construction Commission,APS3,1.0,1.0,66896.0,72140.0,0.5641895835477563
Australian Building & Construction Commission,APS4,7.0,0.8571428571428571,74483.0,80828.0,1.4927053303604616
Australian Building & Construction Commission,APS5,2.0,0.5,83035.0,88000.0,0.7978845608028654
Australian Building & Construction Commission,APS6,9.0,0.5555555555555556,89930.0,103448.0,1.692568750643269
Australian Building & Construction Commission,EL1,8.0,0.375,114481.0,123587.0,1.5957691216057308
Australian Building & Construction Commission,EL2,6.0,0.16666666666666666,132000.0,154483.0,1.381976597885342
Australian Bureau of Statistics,APS1,1.0,1.0,46349.0,52805.0,0.5641895835477563
Australian Bureau of Statistics,APS2,128.0,0.6171875,53002.0,59763.0,6.383076486422923
Australian Bureau of Statistics,APS3,185.0,0.3621621621621622,60382.0,68065.0,7.673807981960539
Australian Bureau of Statistics,APS4,617.0,0.5299837925445705,68122.0,76624.0,14.01417852659937
Australian Bureau of Statistics,APS5,618.0,0.5760517799352751,76629.0,86073.0,14.02553063743339
Australian Bureau of Statistics,APS6,794.0,0.5201511335012594,86081.0,97214.0,15.89773724873857
Australian Bureau of Statistics,EL1,547.0,0.48628884826325414,105758.0,122254.0,13.195283541573993
Australian Bureau of Statistics,EL2,184.0,0.5380434782608695,132031.0,158836.0,7.653039857325812
Australian Competition & Consumer Commission,APS1,4.0,0.5,51996.0,57472.0,1.1283791670955126
Australian Competition & Consumer Commission,APS2,30.0,0.4666666666666667,58842.0,65250.0,3.0901936161855166
Australian Competition & Consumer Commission,APS3,24.0,0.625,67018.0,72339.0,2.763953195770684
Australian Competition & Consumer Commission,APS4,67.0,0.6119402985074627,74703.0,81109.0,4.61809077155419
Australian Competition & Consumer Commission,APS5,212.0,0.5990566037735849,83320.0,88348.0,8.214724333230155
Australian Competition & Consumer Commission,APS6,352.0,0.5738636363636364,92228.0,103370.0,10.585134856802455
Australian Competition & Consumer Commission,EL1,434.0,0.5898617511520737,114589.0,126815.0,11.753573524837677
Australian Competition & Consumer Commission,EL2,296.0,0.5506756756756757,132847.0,155684.0,9.706684619910241
Australian Centre for International Agricultural Research,APS4,5.0,0.4,72164.0,76080.0,1.2615662610100802
Australian Centre for International Agricultural Research,APS5,12.0,0.9166666666666666,79643.0,82716.0,1.9544100476116797
Australian Centre for International Agricultural Research,APS6,11.0,1.0,87286.0,96486.0,1.8712051592547776
Australian Centre for International Agricultural Research,EL1,12.0,0.4166666666666667,110291.0,115917.0,1.9544100476116797
Australian Centre for International Agricultural Research,EL2,18.0,0.5,137573.0,149493.0,2.393653682408596
Australian Criminal Intelligence Commission,APS1,1.0,0.0,48985.0,54140.0,0.5641895835477563
Australian Criminal Intelligence Commission,APS2,1.0,0.0,56273.0,62399.0,0.5641895835477563
Australian Criminal Intelligence Commission,APS3,23.0,0.9130434782608695,65103.0,70266.0,2.7057581899030048
Australian Criminal Intelligence Commission,APS4,96.0,0.6458333333333334,71560.0,77699.0,5.527906391541368
Australian Criminal Intelligence Commission,APS5,105.0,0.6761904761904762,79234.0,84019.0,5.781222885281108
Australian Criminal Intelligence Commission,APS6,145.0,0.6758620689655173,86452.0,97832.0,6.793742230659745
Australian Criminal Intelligence Commission,EL1,333.0,0.38738738738738737,108995.0,131404.0,10.295493776366547
Australian Criminal Intelligence Commission,EL2,75.0,0.4266666666666667,136177.0,153430.0,4.886025119029199
Australian Commission for Law Enforcement Integrity,APS3,1.0,0.0,62261.0,67198.0,0.5641895835477563
Australian Commission for Law Enforcement Integrity,APS4,6.0,0.5,69388.0,75344.0,1.381976597885342
Australian Commission for Law Enforcement Integrity,APS5,13.0,0.6923076923076923,77397.0,82070.0,2.0342144725641096
Australian Commission for Law Enforcement Integrity,APS6,27.0,0.5925925925925926,83589.0,96023.0,2.9316150714175193
Australian Commission for Law Enforcement Integrity,EL1,38.0,0.3684210526315789,106617.0,129566.0,3.477898169151024
Australian Commission for Law Enforcement Integrity,EL2,15.0,0.4,131070.0,147689.0,2.1850968611841584
Australian Communications & Media Authority,APS2,2.0,0.0,56096.0,61879.0,0.7978845608028654
Australian Communications & Media Authority,APS3,9.0,0.5555555555555556,63748.0,69324.0,1.692568750643269
Australian Communications & Media Authority,APS4,24.0,0.5833333333333334,71401.0,77612.0,2.763953195770684
Australian Communications & Media Authority,APS5,42.0,0.4523809523809524,79557.0,85899.0,3.656366395715726
Australian Communications & Media Authority,APS6,144.0,0.5486111111111112,87686.0,99024.0,6.770275002573076
Australian Communications & Media Authority,EL1,212.0,0.589622641509434,106545.0,120152.0,8.214724333230155
Australian Communications & Media Authority,EL2,64.0,0.46875,128896.0,152477.0,4.51351666838205
Aged Care Quality & Safety Commission,APS3,11.0,0.9090909090909091,63843.0,70765.0,1.8712051592547776
Aged Care Quality & Safety Commission,APS4,53.0,0.7169811320754716,72331.0,76427.0,4.1073621666150775
Aged Care Quality & Safety Commission,APS5,121.0,0.7355371900826446,77528.0,83844.0,6.206085419025319
Aged Care Quality & Safety Commission,APS6,506.0,0.7391304347826086,86790.0,97912.0,12.69113085619237
Aged Care Quality & Safety Commission,EL1,204.0,0.696078431372549,106653.0,121639.0,8.058239062071396
Aged Care Quality & Safety Commission,EL2,52.0,0.5384615384615384,127247.0,150654.0,4.068428945128219
Australian Commission on Safety & Quality in Health Care,APS4,1.0,1.0,73699.0,77872.0,0.5641895835477563
Australian Commission on Safety & Quality in Health Care,APS5,2.0,0.5,78994.0,85429.0,0.7978845608028654
Australian Commission on Safety & Quality in Health Care,APS6,21.0,0.7619047619047619,88431.0,99763.0,2.5854414729132054
Australian Commission on Safety & Quality in Health Care,EL1,37.0,0.8648648648648649,108669.0,123939.0,3.431831258788849
Australian Commission on Safety & Quality in Health Care,EL2,26.0,0.6538461538461539,129652.0,153502.0,2.876813695875796
Australian Digital Health Agency,APS4,18.0,0.8333333333333334,73490.0,77651.0,2.393653682408596
Australian Digital Health Agency,APS5,29.0,0.8620689655172413,78770.0,85185.0,3.0382538898732494
Australian Digital Health Agency,APS6,91.0,0.5934065934065934,88178.0,99480.0,5.382025607773058
Australian Digital Health Agency,EL1,89.0,0.6179775280898876,108360.0,123586.0,5.322553886092406
Australian Digital Health Agency,EL2,35.0,0.6285714285714286,129284.0,153065.0,3.3377905890622728
Australian Electoral Commission,APS1,1185.0,0.8016877637130801,49404.0,54604.0,19.42156572287085
Australian Electoral Commission,APS2,147.0,0.8299319727891157,55913.0,62004.0,6.840435166640879
Australian Electoral Commission,APS3,103.0,0.7766990291262136,63686.0,69793.0,5.725898905580716
Australian Electoral Commission,APS4,123.0,0.7479674796747967,70982.0,77785.0,6.257165172872317
Australian Electoral Commission,APS5,133.0,0.5639097744360902,79169.0,86763.0,6.506551687525748
Australian Electoral Commission,APS6,212.0,0.6462264150943396,87635.0,98223.0,8.214724333230155
Australian Electoral Commission,EL1,154.0,0.6428571428571429,109443.0,123331.0,7.001408606295148
Australian Electoral Commission,EL2,53.0,0.6792452830188679,129391.0,151927.0,4.1073621666150775
Australian Fisheries Management Authority,APS2,16.0,0.0625,59396.0,63396.0,2.256758334191025
Australian Fisheries Management Authority,APS3,8.0,0.25,65016.0,70661.0,1.5957691216057308
Australian Fisheries Management Authority,APS4,17.0,0.6470588235294118,73480.0,78562.0,2.326213245840639
Australian Fisheries Management Authority,APS5,10.0,0.7,80981.0,85770.0,1.7841241161527712
Australian Fisheries Management Authority,APS6,62.0,0.45161290322580644,90556.0,100139.0,4.442433223290478
Australian Fisheries Management Authority,EL1,35.0,0.5142857142857142,111397.0,123812.0,3.3377905890622728
Australian Fisheries Management Authority,EL2,19.0,0.3157894736842105,130692.0,152367.0,2.4592453796829674
Australian Financial Security Authority,APS2,5.0,1.0,55973.67,62067.29,1.2615662610100802
Australian Financial Security Authority,APS3,48.0,0.6875,63753.74,68806.96,3.9088200952233594
Australian Financial Security Authority,APS4,47.0,0.5957446808510638,71054.87,77147.47,3.8678889139475245
Australian Financial Security Authority,APS5,59.0,0.7288135593220338,79253.74,85594.98,4.3336224206596095
Australian Financial Security Authority,APS6,129.0,0.6511627906976745,87725.71,98327.39,6.407961869245868
Australian Financial Security Authority,EL1,83.0,0.5662650602409639,104507.62,123022.85,5.140011726956917
Australian Financial Security Authority,EL2,14.0,0.5714285714285714,126560.82,149794.02,2.111004122822376
Attorney-General's Department,APS1,1.0,0.0,49499.0,54704.0,0.5641895835477563
Attorney-General's Department,APS2,9.0,0.4444444444444444,56019.0,62119.0,1.692568750643269
Attorney-General's Department,APS3,132.0,0.7121212121212122,62554.0,67511.0,6.4820448144285745
Attorney-General's Department,APS4,212.0,0.7264150943396226,69716.0,75695.0,8.214724333230155
