level,minimums,maximums
APS1,49590.0,52565.0
APS2,54142.0,59015.0
APS3,60785.0,66256.0
APS4,68244.0,74386.0
APS5,76617.0,83513.0
APS6,86018.0,96341.0
EL1,105011.0,114462.0
EL2,121330.0,132250.0
